"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:216"	"GO:216"	"FOSL2_HEPG2_HG19"	"29/1839"	"177/12202"	0.342313201807541	0.677914380050229	0.579353612966324	"600/792/1076/5190/6124/6451/6635/7311/13814/14310/19875/20421/20649/21712/22284/22502/23243/23574/23830/25058/25871/25913/28112/28688/29007/29239/29629/30229/31939"	29
"GO:228"	"GO:228"	"FOXP2_SKNMC_HG19"	"47/1839"	"294/12202"	0.353004472944314	0.685643303218764	0.585958841729429	"66/2263/4498/6143/6451/6587/7066/7072/7151/7641/9867/9997/9998/10262/10295/11525/12003/12842/13588/13915/14631/16496/16590/18031/18766/18931/19041/19209/20014/20168/22449/22479/22696/22821/23328/23369/23574/24020/24429/25146/26839/27381/27936/29489/29490/31674/32370"	47
"GO:227"	"GO:227"	"FOXP2_PFSK1_HG19"	"18/1839"	"108/12202"	0.36028065070606	0.686572560779472	0.586752996184645	"4214/5762/11004/13941/15239/15661/21224/22284/22479/23369/24224/25763/27936/28086/28578/29631/31382/32370"	18
"GO:510"	"GO:510"	"TEAD4_HEPG2_HG19"	"23/1839"	"143/12202"	0.401987677716033	0.736171717708206	0.629141019823584	"797/1396/3799/3986/5672/5774/5860/7119/8203/8935/12589/15749/17784/18076/19040/19080/20491/24224/24689/24789/25732/27536/28847"	23
"GO:477"	"GO:477"	"STAT5A_K562_HG19"	"18/1839"	"111/12202"	0.407282911878308	0.736171717708206	0.629141019823584	"301/1421/3254/3338/3496/8996/9754/10525/14186/15737/16332/17332/18076/19856/24952/26017/26520/32099"	18
"GO:327"	"GO:327"	"MIR4664"	"20/1839"	"124/12202"	0.408174417739203	0.736171717708206	0.629141019823584	"763/2064/6539/7115/11703/12295/12387/13588/14891/15090/15748/16005/17303/17626/17864/18789/23376/24637/24789/26832"	20
"GO:365"	"GO:365"	"NFIC_SKNSH_HG19"	"61/1839"	"395/12202"	0.438926904178342	0.777747672316009	0.664672320270065	"403/1522/2064/2406/2585/2608/2652/2661/2725/2750/2903/3822/3951/3986/4103/5345/5751/6188/7066/8268/9107/11588/11963/12249/12374/12457/13928/14140/14420/14501/14935/15166/15716/16018/17406/19389/19521/19588/20083/20084/20188/20422/20745/21041/21435/22502/22675/23786/24675/25058/25598/26715/26839/27752/28578/28688/28779/29599/30096/30935/32383"	61
"GO:271"	"GO:271"	"JUN_HELAS3_HG19"	"45/1839"	"292/12202"	0.460305951952321	0.795281062118635	0.679656561685545	"712/792/1223/1363/1522/2585/3496/3951/5190/5547/6050/8109/8677/10716/11004/11007/11588/12033/13814/13928/14420/14501/14891/19277/19521/19882/20421/21386/21598/21677/21712/22502/22821/23387/23982/24029/24675/25352/25871/26247/26748/28688/28817/30096/30766"	45
"GO:196"	"GO:196"	"ESR1_ECC1_HG19"	"56/1839"	"365/12202"	0.464570125396034	0.795281062118635	0.679656561685545	"403/697/935/1471/2448/2511/2734/3709/3951/4750/5737/6188/6699/7228/7525/7965/8484/8703/8935/10716/10968/11007/11182/11327/11491/12249/12759/13928/14321/14420/14697/15033/15977/16416/17113/18140/19033/20745/21236/21284/22281/22850/23830/24070/24789/25383/26236/26463/26672/27371/28446/30096/30131/30721/30869/31237"	56
"GO:390"	"GO:390"	"PAX5_GM12892_HG19"	"44/1839"	"288/12202"	0.486314272808431	0.799981646459416	0.683673736421805	"2448/2652/3254/3301/3940/3957/4322/5696/5737/5783/6451/7011/7072/8490/10019/11138/11525/12033/12628/12630/13915/14398/14599/16821/18428/18766/19588/22062/22234/22284/23081/23369/23830/24409/24429/24488/25232/25984/28578/28725/30702/30721/30830/31355"	44
"GO:226"	"GO:226"	"FOXM1_MCF7_HG19"	"16/1839"	"103/12202"	0.489843182068573	0.799981646459416	0.683673736421805	"3940/5821/5986/7729/8703/10257/10844/11525/13511/17266/19761/22821/23834/23959/26840/26920"	16
"GO:434"	"GO:434"	"RXRA_H1HESC_HG19"	"11/1839"	"70/12202"	0.491077842381028	0.799981646459416	0.683673736421805	"6486/8506/20070/20491/23387/26041/26552/27752/29027/31484/32144"	11
"GO:299"	"GO:299"	"MAFK_MELCELLLINE_MM9"	"66/1839"	"437/12202"	0.513761209846658	0.808863668653583	0.691264417192223	"261/2113/3375/3389/3496/4215/4749/5453/5542/5547/5783/6459/7060/7115/7301/7380/7793/7965/8506/9589/9699/9700/10257/10283/13425/13686/14420/14687/14905/15149/15516/15635/15959/16489/16747/16821/17014/18174/18176/19041/19152/19708/19870/19872/20095/20583/20614/20668/22376/22525/23243/23252/23830/24070/25015/25058/25324/25691/25732/26528/26665/27597/28112/29631/29710/31401"	66
